transaction_id,date,customer_id,product_id,region_id,quantity,revenue,cost,profit
40,2023-01-05,284,6,2,2,57.39,43.66,13.73
41,2023-01-05,368,6,1,4,107.75,87.2,20.55
42,2023-01-06,466,2,2,4,905.21,728.3,176.91
43,2023-01-06,22,4,1,4,245.06,140.6,104.46
44,2023-01-06,233,6,1,5,138.01,117.03,20.98
45,2023-01-06,460,2,5,1,231.36,194.85,36.51
46,2023-01-06,122,6,2,1,34.17,26.9,7.27
47,2023-01-06,68,5,4,4,225.79,160.01,65.78
48,2023-01-07,292,4,3,3,142.94,78.52,64.42
49,2023-01-07,230,4,4,5,413.82,228.41,185.41
50,2023-01-07,183,6,1,3,81.89,69.19,12.7
51,2023-01-07,482,1,3,5,1090.16,691.2,398.96
52,2023-01-07,150,4,1,4,289.44,151.87,137.57
53,2023-01-07,223,1,1,1,272.1,164.17,107.93
54,2023-01-08,389,6,1,4,132.75,101.86,30.89
55,2023-01-08,171,2,4,1,289.5,246.62,42.88
56,2023-01-08,375,1,4,4,1375.09,906.27,468.82
57,2023-01-08,181,5,2,5,200.22,133.54,66.68
58,2023-01-08,408,6,1,4,107.33,89.87,17.46
59,2023-01-08,191,5,3,2,76.66,51.78,24.88
60,2023-01-08,107,2,4,1,356.54,298.4,58.14
61,2023-01-08,114,4,1,5,306.8,160.44,146.36
62,2023-01-08,109,4,4,4,301.73,160.91,140.82
63,2023-01-08,310,2,4,5,1561.97,1283.18,278.79
64,2023-01-08,500,6,5,1,26.56,21.54,5.02
65,2023-01-08,438,4,3,3,166.01,95.88,70.13
66,2023-01-09,346,3,2,2,170.44,127.55,42.89
67,2023-01-09,375,1,4,3,1147.09,772.38,374.71
68,2023-01-09,488,5,3,2,68.32,50.21,18.11
69,2023-01-09,186,1,3,4,888.64,607.1,281.54
70,2023-01-09,194,2,3,4,829.81,667.01,162.8
71,2023-01-09,249,2,2,3,784.45,629.11,155.34
72,2023-01-10,237,6,1,4,140.58,118.44,22.14
73,2023-01-10,51,1,4,5,1816.76,1176.18,640.58
74,2023-01-10,381,1,2,1,241.4,164.58,76.82
75,2023-01-10,47,3,4,1,119.81,95.79,24.02
76,2023-01-10,164,3,5,2,151.73,111.57,40.16
77,2023-01-10,215,6,5,5,134.54,101.55,32.99
78,2023-01-10,440,5,4,5,306.16,226.44,79.72
79,2023-01-10,315,4,3,4,184.17,104.51,79.66
80,2023-01-10,493,3,1,1,93.72,65.68,28.04
81,2023-01-11,187,1,5,4,1092.45,687.09,405.36
82,2023-01-11,434,5,5,3,125.25,93.9,31.35
83,2023-01-11,497,2,4,4,1255.17,1045.89,209.28
84,2023-01-11,491,3,3,2,122.02,96.83,25.19
85,2023-01-11,12,4,4,4,280.8,154.05,126.75
86,2023-01-11,466,6,2,1,31.46,26.63,4.83
87,2023-01-11,281,1,2,4,953.67,616.07,337.6
88,2023-01-11,289,2,1,1,277.05,234.69,42.36
89,2023-01-12,117,5,4,4,234.24,172.03,62.21
90,2023-01-12,399,3,3,1,61.32,48.31,13.01
91,2023-01-12,99,1,5,1,253.38,157.96,95.42
92,2023-01-12,325,1,1,4,1200.29,830.74,369.55
93,2023-01-12,94,5,5,1,39.5,26.62,12.88
94,2023-01-12,238,1,4,1,374.04,230.28,143.76
95,2023-01-12,114,6,1,2,61.35,48.49,12.86
96,2023-01-12,422,5,3,1,38.89,27.05,11.84
97,2023-01-12,452,2,1,4,939.66,753.81,185.85
98,2023-01-12,430,5,3,4,152.27,111.61,40.66
99,2023-01-12,276,4,4,2,141.56,74.8,66.76
100,2023-01-12,212,6,3,5,112.68,85.07,27.61
101,2023-01-13,113,1,2,1,244.35,153.62,90.73
102,2023-01-13,38,4,3,2,117.27,65.77,51.5
103,2023-01-13,233,5,1,3,109.0,77.46,31.54
104,2023-01-13,352,3,1,1,86.93,67.99,18.94
105,2023-01-13,78,2,1,2,582.04,466.99,115.05
106,2023-01-13,374,2,1,3,895.91,743.13,152.78
107,2023-01-13,126,4,2,5,303.49,175.15,128.34
108,2023-01-13,47,3,4,3,348.11,272.44,75.67
109,2023-01-13,66,6,1,1,33.5,26.74,6.76
110,2023-01-13,284,2,2,3,819.62,705.23,114.39
111,2023-01-14,473,4,4,1,81.46,44.0,37.46
112,2023-01-14,93,4,1,2,107.9,56.73,51.17
113,2023-01-14,482,6,3,1,29.23,24.19,5.04
114,2023-01-14,71,5,2,3,112.03,82.01,30.02
115,2023-01-14,195,1,2,4,899.95,541.61,358.34
116,2023-01-14,94,4,5,1,49.89,25.91,23.98
117,2023-01-14,258,2,3,4,975.71,834.46,141.25
118,2023-01-14,405,2,3,1,196.26,157.11,39.15
119,2023-01-14,352,4,1,3,195.54,114.32,81.22
120,2023-01-14,5,4,4,4,340.88,193.5,147.38
121,2023-01-14,428,1,4,4,1253.03,776.97,476.06
122,2023-01-14,411,6,3,4,109.36,85.25,24.11
123,2023-01-14,278,4,3,2,107.08,62.13,44.95
124,2023-01-14,80,1,2,3,773.14,524.47,248.67
125,2023-01-15,238,2,4,4,1348.74,1178.87,169.87
126,2023-01-15,422,2,3,1,238.38,204.67,33.71
127,2023-01-15,360,1,2,5,1287.37,847.07,440.3
128,2023-01-15,367,3,5,5,338.38,253.96,84.42
129,2023-01-15,1,6,4,4,184.13,150.86,33.27
130,2023-01-15,45,3,1,5,375.58,299.78,75.8
131,2023-01-15,187,3,5,3,255.93,200.92,55.01
132,2023-01-15,117,2,4,1,368.57,330.06,38.51
133,2023-01-15,420,2,5,4,894.7,720.53,174.17
134,2023-01-15,316,3,5,4,329.61,247.35,82.26
135,2023-01-16,111,4,4,2,167.35,85.42,81.93
136,2023-01-16,158,1,3,4,849.91,569.4,280.51
137,2023-01-16,112,1,1,4,1197.9,824.2,373.7
138,2023-01-16,424,3,1,5,395.85,296.4,99.45
139,2023-01-16,145,2,2,5,1109.97,966.25,143.72
140,2023-01-16,18,3,1,1,95.31,73.27,22.04
141,2023-01-16,8,1,2,4,1059.69,732.54,327.15
142,2023-01-17,358,2,3,4,913.2,774.5,138.7
143,2023-01-17,409,4,1,4,249.02,128.48,120.54
144,2023-01-17,255,4,5,5,291.55,164.08,127.47
145,2023-01-17,280,6,4,2,78.97,65.1,13.87
146,2023-01-17,80,4,2,1,52.91,28.7,24.21
147,2023-01-17,357,5,4,1,52.03,36.93,15.1
148,2023-01-17,183,3,1,1,80.55,58.72,21.83
149,2023-01-17,470,6,4,1,38.55,28.91,9.64
150,2023-01-17,112,3,1,4,315.29,228.3,86.99
151,2023-01-17,484,2,5,2,518.33,456.29,62.04
152,2023-01-17,40,1,4,1,363.5,249.42,114.08
153,2023-01-17,196,3,4,5,587.74,434.65,153.09
154,2023-01-18,417,5,1,5,236.37,163.41,72.96
155,2023-01-18,177,2,5,4,808.9,673.08,135.82
156,2023-01-18,309,3,4,5,595.71,468.66,127.05
157,2023-01-18,108,3,4,3,345.24,242.5,102.74
158,2023-01-18,438,5,3,5,174.46,120.08,54.38
159,2023-01-18,465,2,1,4,915.39,802.78,112.61
160,2023-01-18,93,4,1,5,308.81,159.87,148.94
161,2023-01-18,276,1,4,4,1206.38,729.49,476.89
162,2023-01-19,475,4,1,5,292.55,163.37,129.18
163,2023-01-19,49,4,1,4,246.69,125.67,121.02
164,2023-01-19,133,1,3,4,787.35,494.43,292.92
165,2023-01-19,102,2,4,2,769.31,644.53,124.78
166,2023-01-19,232,1,5,3,797.12,502.45,294.67
167,2023-01-19,392,6,2,2,60.52,50.7,9.82
168,2023-01-19,61,6,1,3,87.04,67.92,19.12
169,2023-01-20,307,5,4,3,170.08,114.39,55.69
170,2023-01-20,460,1,5,3,749.73,512.87,236.86
171,2023-01-20,256,4,1,1,64.83,36.87,27.96
172,2023-01-20,128,2,1,3,704.72,624.27,80.45
173,2023-01-20,64,2,1,3,708.25,633.91,74.34
174,2023-01-20,461,3,4,5,482.08,369.84,112.24
175,2023-01-20,453,6,1,5,177.5,141.53,35.97
176,2023-01-20,395,4,3,1,44.97,26.79,18.18
177,2023-01-20,441,4,1,2,143.86,83.95,59.91
178,2023-01-20,38,6,3,1,24.09,18.99,5.1
179,2023-01-20,52,4,1,5,356.71,207.1,149.61
180,2023-01-21,299,2,4,5,1632.33,1455.5,176.83
181,2023-01-21,476,6,1,4,118.61,90.78,27.83
182,2023-01-21,140,6,3,1,27.72,23.26,4.46
183,2023-01-21,405,5,3,1,31.52,22.6,8.92
184,2023-01-21,431,2,3,4,799.71,690.0,109.71
185,2023-01-21,9,1,2,4,868.63,569.59,299.04
186,2023-01-21,119,1,4,3,888.19,606.68,281.51
187,2023-01-21,73,6,1,2,53.63,45.05,8.58
188,2023-01-21,101,4,5,2,126.18,64.6,61.58
189,2023-01-21,145,5,2,3,128.42,92.92,35.5
190,2023-01-21,125,5,4,2,94.31,63.46,30.85
191,2023-01-22,258,1,3,2,366.69,234.73,131.96
192,2023-01-22,404,3,1,4,383.5,286.37,97.13
193,2023-01-22,426,3,3,3,206.53,146.76,59.77
194,2023-01-22,118,3,2,1,91.62,66.99,24.63
195,2023-01-22,221,1,2,4,926.95,607.39,319.56
196,2023-01-22,71,1,2,4,989.05,619.72,369.33
197,2023-01-22,121,6,4,4,183.52,138.74,44.78
198,2023-01-22,36,5,1,4,177.8,119.04,58.76
199,2023-01-22,291,4,1,1,61.58,35.48,26.1
200,2023-01-23,99,5,5,4,168.35,113.66,54.69
201,2023-01-23,428,5,4,1,48.09,31.86,16.23
202,2023-01-23,254,3,3,2,128.61,102.1,26.51
203,2023-01-23,343,4,1,2,110.58,61.81,48.77
204,2023-01-24,277,5,5,1,33.03,24.43,8.6
205,2023-01-24,352,2,1,2,551.05,441.11,109.94
206,2023-01-24,170,4,1,2,118.35,59.84,58.51
207,2023-01-24,293,2,3,3,582.0,496.7,85.3
208,2023-01-24,433,4,1,5,293.27,153.6,139.67
209,2023-01-24,405,3,3,5,316.05,226.61,89.44
210,2023-01-24,450,6,1,1,32.59,26.43,6.16
211,2023-01-24,270,4,1,2,134.45,74.77,59.68
212,2023-01-24,122,2,2,5,1269.3,1080.15,189.15
213,2023-01-24,461,6,4,1,43.08,34.86,8.22
214,2023-01-24,183,5,1,3,136.74,92.05,44.69
215,2023-01-24,4,5,1,5,179.07,119.54,59.53
216,2023-01-25,215,5,5,2,72.59,48.24,24.35
217,2023-01-25,401,1,2,2,564.89,350.51,214.38
218,2023-01-25,414,5,4,3,149.49,108.14,41.35
219,2023-01-25,76,3,1,1,96.22,76.59,19.63
220,2023-01-25,274,1,4,1,307.64,189.3,118.34
221,2023-01-26,337,1,4,2,769.5,475.44,294.06
222,2023-01-26,490,3,2,2,170.63,135.93,34.7
223,2023-01-26,126,5,2,1,37.15,25.79,11.36
224,2023-01-26,475,6,1,5,147.74,119.37,28.37
225,2023-01-26,186,1,3,2,375.07,255.27,119.8
226,2023-01-26,197,6,1,2,71.88,56.8,15.08
227,2023-01-26,118,1,2,5,1371.68,868.37,503.31
228,2023-01-26,182,6,5,4,125.5,96.69,28.81
229,2023-01-26,13,5,3,4,124.64,87.88,36.76
230,2023-01-26,302,4,2,1,68.23,37.5,30.73
231,2023-01-26,216,1,3,3,591.03,379.03,212.0
232,2023-01-26,408,2,1,5,1474.58,1229.46,245.12
233,2023-01-27,161,6,4,1,42.13,35.74,6.39
234,2023-01-27,146,6,3,1,22.33,18.44,3.89
235,2023-01-27,249,5,2,5,229.44,159.65,69.79
236,2023-01-27,198,2,2,5,1112.22,969.08,143.14
237,2023-01-27,383,3,4,1,110.69,87.49,23.2
238,2023-01-27,198,6,2,3,84.02,70.12,13.9
239,2023-01-27,294,6,4,5,212.96,178.17,34.79
240,2023-01-27,190,6,5,1,29.56,24.59,4.97
241,2023-01-27,176,5,4,3,172.44,129.01,43.43
242,2023-01-27,323,3,4,3,342.32,245.99,96.33
243,2023-01-27,468,5,4,2,98.95,65.16,33.79
244,2023-01-27,346,5,2,2,81.76,58.53,23.23
245,2023-01-28,309,4,4,1,91.35,51.09,40.26
246,2023-01-28,47,1,4,2,767.51,526.03,241.48
247,2023-01-28,251,4,1,3,213.18,127.52,85.66
248,2023-01-28,29,6,4,5,209.57,174.03,35.54
249,2023-01-28,424,6,1,2,62.83,52.51,10.32
250,2023-01-29,458,3,4,1,113.73,85.38,28.35
251,2023-01-29,18,1,1,1,260.09,163.96,96.13
252,2023-01-29,382,3,1,3,250.32,176.89,73.43
253,2023-01-29,408,6,1,2,67.19,50.4,16.79
254,2023-01-29,112,6,1,5,159.37,120.58,38.79
255,2023-01-29,237,6,1,5,154.08,125.74,28.34
256,2023-01-29,379,3,5,1,81.88,60.94,20.94
257,2023-01-29,471,4,4,4,371.45,196.84,174.61
258,2023-01-29,291,1,1,5,1372.64,837.94,534.7
259,2023-01-29,206,2,4,1,303.58,243.47,60.11
260,2023-01-29,238,2,4,1,308.48,261.11,47.37
261,2023-01-30,157,1,3,1,188.71,117.26,71.45
262,2023-01-30,442,2,3,1,233.76,209.76,24.0
263,2023-01-30,144,4,1,4,222.58,133.43,89.15
264,2023-01-30,10,6,4,2,87.82,67.09,20.73
265,2023-01-30,331,3,3,5,294.54,228.6,65.94
266,2023-01-30,36,3,1,4,358.74,266.67,92.07
267,2023-01-30,10,4,4,5,433.34,247.89,185.45
268,2023-01-30,325,4,1,4,261.94,150.78,111.16
269,2023-01-30,192,1,2,3,833.15,540.96,292.19
270,2023-01-30,12,6,4,3,123.74,101.71,22.03
271,2023-01-31,457,2,4,2,678.26,545.47,132.79
272,2023-01-31,320,5,4,5,248.92,172.29,76.63
273,2023-01-31,444,2,2,1,259.05,217.2,41.85
274,2023-01-31,197,4,1,5,272.39,162.87,109.52
275,2023-01-31,339,4,5,1,53.47,29.6,23.87
276,2023-01-31,420,2,5,5,1254.29,1041.87,212.42
277,2023-01-31,33,3,4,4,396.41,302.78,93.63
278,2023-01-31,414,4,4,4,331.29,184.47,146.82
279,2023-01-31,325,3,1,2,145.39,109.79,35.6
280,2023-01-31,92,2,2,3,730.53,618.01,112.52
281,2023-01-31,330,4,2,5,343.77,175.03,168.74
282,2023-02-01,223,6,1,3,91.75,70.31,21.44
283,2023-02-01,23,1,2,1,222.52,149.57,72.95
284,2023-02-01,308,6,5,2,63.4,48.86,14.54
285,2023-02-01,154,6,2,5,156.47,122.97,33.5
286,2023-02-01,420,4,5,4,200.03,115.98,84.05
287,2023-02-01,371,3,4,5,490.8,382.35,108.45
288,2023-02-01,28,5,2,1,37.61,27.26,10.35
289,2023-02-01,361,3,1,5,469.43,350.81,118.62
290,2023-02-02,156,1,4,5,1731.32,1207.15,524.17
291,2023-02-02,130,5,5,1,37.65,26.62,11.03
292,2023-02-02,17,3,4,5,523.37,368.53,154.84
293,2023-02-02,255,2,5,3,740.27,646.11,94.16
294,2023-02-02,206,6,4,5,214.78,166.48,48.3
295,2023-02-02,355,4,1,1,54.31,29.76,24.55
296,2023-02-02,469,4,1,1,72.32,39.56,32.76
297,2023-02-02,55,4,4,2,176.03,92.13,83.9
298,2023-02-03,10,3,4,4,420.48,302.73,117.75
299,2023-02-03,317,6,2,2,65.56,51.77,13.79
300,2023-02-03,400,4,2,2,118.64,69.14,49.5
301,2023-02-03,456,3,3,2,141.35,104.77,36.58
302,2023-02-03,85,2,4,3,998.21,816.54,181.67
303,2023-02-03,185,2,1,4,985.1,801.76,183.34
304,2023-02-03,337,4,4,3,215.71,128.08,87.63
305,2023-02-03,249,6,2,1,28.39,23.8,4.59
306,2023-02-03,104,5,4,2,110.77,78.91,31.86
307,2023-02-03,479,3,2,2,168.46,129.99,38.47
308,2023-02-03,33,3,4,1,93.96,67.75,26.21
309,2023-02-04,20,2,4,2,608.4,541.27,67.13
310,2023-02-04,86,2,2,2,500.87,410.98,89.89
311,2023-02-04,345,6,2,1,30.58,24.9,5.68
312,2023-02-04,70,6,4,3,113.46,95.04,18.42
313,2023-02-04,102,2,4,1,320.74,287.35,33.39
314,2023-02-04,204,2,4,4,1361.49,1120.29,241.2
315,2023-02-04,18,3,1,5,414.92,326.99,87.93
316,2023-02-04,442,4,3,4,214.98,123.48,91.5
317,2023-02-04,491,2,3,3,635.8,552.41,83.39
318,2023-02-05,94,1,5,4,862.75,527.94,334.81
319,2023-02-05,421,2,5,1,264.48,224.89,39.59
320,2023-02-05,487,6,2,3,94.52,71.08,23.44
321,2023-02-05,143,6,4,2,84.33,68.86,15.47
322,2023-02-05,15,1,2,4,1098.04,688.52,409.52
323,2023-02-05,345,1,2,4,1075.62,674.17,401.45
324,2023-02-05,253,5,2,1,37.86,26.26,11.6
325,2023-02-06,60,3,4,3,357.98,262.52,95.46
326,2023-02-06,175,3,4,4,379.08,285.41,93.67
327,2023-02-06,255,5,5,5,167.96,111.9,56.06
328,2023-02-06,380,1,2,1,212.57,130.32,82.25
329,2023-02-06,66,5,1,1,47.59,32.96,14.63
330,2023-02-06,344,6,4,3,108.47,90.96,17.51
331,2023-02-07,268,3,3,1,62.68,48.07,14.61
332,2023-02-07,54,1,2,3,773.36,464.05,309.31
333,2023-02-07,437,2,4,3,942.34,803.61,138.73
334,2023-02-07,494,1,3,1,182.74,127.65,55.09
335,2023-02-07,265,2,4,3,1163.1,948.99,214.11
336,2023-02-07,417,3,1,4,331.23,241.89,89.34
337,2023-02-08,330,5,2,5,192.78,137.58,55.2
338,2023-02-08,380,6,2,1,32.85,26.21,6.64
339,2023-02-08,211,4,1,4,260.29,135.44,124.85
340,2023-02-08,114,4,1,3,173.48,91.68,81.8
341,2023-02-08,167,1,5,2,532.65,334.8,197.85
342,2023-02-09,70,4,4,4,356.02,195.91,160.11
343,2023-02-09,68,2,4,5,1622.73,1319.44,303.29
344,2023-02-09,466,1,2,3,653.26,414.7,238.56
345,2023-02-09,100,4,5,4,232.53,123.62,108.91
346,2023-02-09,173,2,4,1,325.55,262.18,63.37
347,2023-02-09,79,4,1,4,245.13,140.91,104.22
348,2023-02-09,6,6,2,4,110.92,84.0,26.92
349,2023-02-09,12,1,4,1,343.52,224.59,118.93
350,2023-02-10,98,4,4,3,249.12,134.93,114.19
351,2023-02-10,303,2,4,1,289.25,248.32,40.93
352,2023-02-10,313,3,4,4,415.79,319.42,96.37
353,2023-02-10,152,3,5,5,413.22,325.12,88.1
354,2023-02-10,89,3,1,2,143.02,101.0,42.02
355,2023-02-10,458,2,4,4,1171.2,974.91,196.29
356,2023-02-10,474,3,4,4,494.42,364.71,129.71
357,2023-02-10,14,2,2,3,770.99,687.18,83.81
358,2023-02-11,411,1,3,4,767.87,510.55,257.32
359,2023-02-11,480,1,3,4,934.09,572.06,362.03
360,2023-02-11,34,6,5,5,136.59,108.3,28.29
361,2023-02-11,97,3,4,5,524.12,368.74,155.38
362,2023-02-11,133,4,3,5,285.42,152.04,133.38
363,2023-02-11,400,5,2,4,153.77,111.59,42.18
364,2023-02-11,278,5,3,5,167.03,117.22,49.81
365,2023-02-12,472,2,4,2,599.01,535.83,63.18
366,2023-02-12,473,2,4,2,670.81,547.24,123.57
367,2023-02-12,158,4,3,3,159.22,90.67,68.55
368,2023-02-12,475,3,1,4,361.47,284.55,76.92
369,2023-02-12,434,1,5,3,736.81,462.6,274.21
370,2023-02-12,231,5,5,1,36.95,24.45,12.5
371,2023-02-13,177,2,5,5,1064.88,937.02,127.86
372,2023-02-13,499,3,1,1,80.5,59.14,21.36
373,2023-02-13,342,4,4,2,171.58,89.18,82.4
374,2023-02-13,500,5,5,1,36.97,24.78,12.19
375,2023-02-13,81,3,5,5,342.86,245.64,97.22
376,2023-02-13,62,6,5,3,77.46,59.07,18.39
377,2023-02-13,453,6,1,2,68.05,51.59,16.46
378,2023-02-14,358,1,3,5,1049.87,691.74,358.13
379,2023-02-14,391,2,3,2,486.11,390.08,96.03
380,2023-02-14,172,6,3,1,24.18,18.15,6.03
381,2023-02-14,267,2,4,1,290.39,244.71,45.68
382,2023-02-14,160,2,1,2,477.6,395.37,82.23
383,2023-02-15,375,5,4,2,94.32,61.76,32.56
384,2023-02-15,135,4,4,4,356.44,195.87,160.57
385,2023-02-15,39,6,2,1,30.46,25.01,5.45
386,2023-02-15,357,4,4,3,276.1,148.33,127.77
387,2023-02-15,346,5,2,2,81.24,58.59,22.65
388,2023-02-16,304,6,4,1,35.03,29.39,5.64
389,2023-02-16,358,2,3,5,931.68,746.99,184.69
390,2023-02-16,271,2,1,4,944.61,802.43,142.18
391,2023-02-16,71,2,2,5,1374.52,1162.66,211.86
392,2023-02-16,11,4,1,1,69.79,40.43,29.36
393,2023-02-16,95,6,3,4,101.35,84.31,17.04
394,2023-02-16,296,4,4,3,241.17,122.98,118.19
395,2023-02-17,50,1,5,2,511.54,338.55,172.99
396,2023-02-17,419,1,4,3,974.5,635.1,339.4
397,2023-02-17,219,3,5,2,167.57,125.57,42.0
398,2023-02-17,23,4,2,4,239.85,133.81,106.04
399,2023-02-17,362,1,5,5,1315.02,889.17,425.85
400,2023-02-17,140,5,3,4,120.9,81.21,39.69
401,2023-02-17,200,3,2,5,369.63,274.78,94.85
402,2023-02-17,49,4,1,1,61.69,32.93,28.76
403,2023-02-18,137,2,2,5,1270.49,1108.16,162.33
404,2023-02-18,133,5,3,1,34.53,23.94,10.59
405,2023-02-18,432,1,4,4,1373.47,842.15,531.32
406,2023-02-18,308,4,5,1,58.07,29.82,28.25
407,2023-02-18,220,2,5,4,1044.98,837.46,207.52
408,2023-02-18,220,3,5,2,158.61,114.77,43.84
409,2023-02-18,138,4,3,4,220.37,128.63,91.74
410,2023-02-18,176,1,4,4,1515.65,968.62,547.03
411,2023-02-18,17,2,4,5,1920.54,1666.94,253.6
412,2023-02-18,366,2,3,4,775.23,677.21,98.02
413,2023-02-18,183,3,1,4,305.95,218.6,87.35
414,2023-02-19,104,2,4,5,1860.38,1545.08,315.3
415,2023-02-19,473,4,4,1,76.25,40.37,35.88
416,2023-02-19,378,3,1,5,386.9,296.34,90.56
417,2023-02-19,8,6,2,3,92.22,73.56,18.66
418,2023-02-19,203,4,4,4,295.72,154.4,141.32
419,2023-02-19,386,5,4,1,61.89,45.62,16.27
420,2023-02-20,313,6,4,4,149.11,116.47,32.64
421,2023-02-20,280,6,4,4,160.53,123.55,36.98
422,2023-02-20,381,6,2,5,144.37,109.23,35.14
423,2023-02-20,139,6,5,2,56.69,43.33,13.36
424,2023-02-20,129,1,2,1,275.94,172.75,103.19
425,2023-02-20,406,1,2,4,935.25,637.24,298.01
426,2023-02-21,250,1,1,1,245.71,168.94,76.77
427,2023-02-21,166,3,1,5,373.42,272.03,101.39
428,2023-02-21,462,3,2,3,267.5,194.16,73.34
429,2023-02-21,63,6,2,1,33.64,27.94,5.7
430,2023-02-21,368,3,1,1,88.55,64.17,24.38
431,2023-02-21,126,1,2,2,515.67,323.07,192.6
432,2023-02-21,468,1,4,5,1676.7,1148.25,528.45
433,2023-02-22,494,5,3,1,37.92,27.51,10.41
434,2023-02-22,183,6,1,1,29.66,22.49,7.17
435,2023-02-22,462,3,2,4,304.88,216.49,88.39
436,2023-02-22,366,1,3,3,691.98,476.72,215.26
437,2023-02-22,307,5,4,5,231.95,157.92,74.03
438,2023-02-22,159,3,1,1,91.84,64.57,27.27
439,2023-02-23,322,5,4,2,106.33,69.9,36.43
440,2023-02-23,172,4,3,2,93.17,48.88,44.29
441,2023-02-23,189,6,1,5,166.3,126.08,40.22
442,2023-02-23,256,4,1,1,67.7,38.79,28.91
443,2023-02-23,394,3,3,3,224.01,167.08,56.93
444,2023-02-23,351,1,5,1,216.65,147.5,69.15
445,2023-02-23,320,3,4,1,110.16,82.49,27.67
446,2023-02-23,147,3,3,3,227.05,175.04,52.01
447,2023-02-23,483,2,4,1,333.39,299.19,34.2
448,2023-02-23,174,6,5,4,111.33,90.0,21.33
449,2023-02-23,60,2,4,1,363.4,325.37,38.03
450,2023-02-23,1,5,4,2,121.19,83.26,37.93
451,2023-02-23,141,6,1,4,120.79,95.98,24.81
452,2023-02-24,471,2,4,2,654.17,542.87,111.3
453,2023-02-24,113,6,2,4,124.89,102.27,22.62
454,2023-02-24,181,4,2,2,129.79,71.87,57.92
455,2023-02-24,412,1,5,5,1154.7,765.19,389.51
456,2023-02-24,208,1,1,1,248.25,155.98,92.27
457,2023-02-24,304,2,4,2,585.62,514.15,71.47
458,2023-02-24,293,2,3,4,926.93,816.06,110.87
459,2023-02-24,214,3,4,3,346.7,277.22,69.48
460,2023-02-25,421,3,5,5,409.87,306.31,103.56
461,2023-02-25,281,4,2,4,224.47,124.56,99.91
462,2023-02-25,121,3,4,3,321.41,232.69,88.72
463,2023-02-25,127,6,5,2,59.45,45.02,14.43
464,2023-02-26,14,2,2,1,240.27,200.76,39.51
465,2023-02-26,494,6,3,3,86.55,73.32,13.23
466,2023-02-26,482,6,3,3,73.3,55.72,17.58
467,2023-02-26,96,2,3,5,1204.99,969.16,235.83
468,2023-02-26,344,1,4,5,1906.47,1228.06,678.41
469,2023-02-26,324,5,1,4,186.33,124.18,62.15
470,2023-02-26,379,5,5,2,81.98,53.97,28.01
471,2023-02-26,346,1,2,3,850.83,586.28,264.55
472,2023-02-26,344,5,4,2,94.8,61.89,32.91
473,2023-02-27,198,1,2,2,477.58,295.52,182.06
474,2023-02-27,178,1,4,1,371.96,236.54,135.42
475,2023-02-27,154,2,2,1,218.6,176.4,42.2
476,2023-02-27,363,1,1,3,866.15,550.17,315.98
477,2023-02-27,162,2,3,2,463.06,397.01,66.05
478,2023-02-28,116,6,1,3,102.38,78.85,23.53
